Term,Type,Document_Frequency,Financial_Literacy,Reason
use credit,Bigram,3042,Regular,
consideration,Unigram,3025,Regular,
miss,Unigram,3002,Regular,
request,Unigram,2998,Regular,
apr,Unigram,2952,Literacy,
late payment,Bigram,2898,Regular,
fix,Unigram,2865,Uncertain,"'ריבית קבועה' אפשרי, אך בקורפוס הזה לרוב 'לתקן' (הקשר שיפוצים חזק)"
cash,Unigram,2844,Regular,
rate credit,Bigram,2844,Regular,
high rate,Bigram,2816,Regular,
minimum,Unigram,2789,Regular,
little,Unigram,2775,Regular,
card balance,Bigram,2768,Regular,
cost,Unigram,2750,Regular,
faster,Unigram,2740,Regular,
college,Unigram,2729,Regular,
past,Unigram,2713,Regular,
payment month,Bigram,2696,Regular,
end,Unigram,2662,Regular,
want consolidate,Bigram,2641,Regular,
school,Unigram,2636,Regular,
stable job,Bigram,2596,Regular,
mortgage,Unigram,2593,Regular,
use fund,Bigram,2573,Regular,
excellent,Unigram,2554,Regular,
future,Unigram,2530,Regular,
order,Unigram,2512,Regular,
term,Unigram,2475,Uncertain,"'תקופת הלוואה' אפשרי, אך מילה אנגלית כללית ביותר"
employ,Unigram,2455,Regular,
save money,Bigram,2418,Regular,
instead,Unigram,2411,Regular,
know,Unigram,2403,Regular,
card add,Bigram,2397,Regular,
use consolidate,Bigram,2396,Regular,
recently,Unigram,2366,Regular,
job year,Bigram,2352,Regular,
purpose,Unigram,2338,Regular,
saving,Unigram,2331,Regular,
total,Unigram,2329,Regular,
miss payment,Bigram,2325,Regular,
exist,Unigram,2321,Regular,
add try,Bigram,2299,Regular,
appreciate,Unigram,2298,Regular,
student,Unigram,2294,Regular,
come,Unigram,2273,Regular,
really,Unigram,2249,Regular,
low,Unigram,2248,Regular,
cover,Unigram,2240,Regular,
thank consideration,Bigram,2233,Regular,
consolidate high,Bigram,2210,Regular,
add just,Bigram,2199,Regular,
leave,Unigram,2190,Regular,
tax,Unigram,2189,Regular,
high rat,Bigram,2187,Regular,
rent,Unigram,2182,Regular,
build,Unigram,2173,Regular,
card high,Bigram,2173,Regular,
card lower,Bigram,2150,Regular,
feel,Unigram,2130,Regular,
look consolidate,Bigram,2129,Regular,
increase,Unigram,2121,Regular,
wed,Unigram,2119,Regular,
rid,Unigram,2117,Regular,
invest,Unigram,2106,Regular,
eliminate,Unigram,2088,Regular,
hard,Unigram,2076,Regular,
ago,Unigram,2063,Regular,
add thank,Bigram,2055,Regular,
amp,Unigram,2035,Regular,
higher rate,Bigram,2021,Regular,
extra,Unigram,2004,Regular,
easier,Unigram,1998,Regular,
responsible,Unigram,1991,Regular,
investor,Unigram,1969,Regular,
opportunity,Unigram,1966,Regular,
thing,Unigram,1935,Regular,
secure,Unigram,1931,Uncertain,עלול להיות 'secured debt' אחרי למטיזציה (secured->secure) או סתם 'secure job/feel secure'
investment,Unigram,1923,Regular,
don,Unigram,1922,Regular,
long,Unigram,1922,Regular,
card consolidation,Bigram,1913,Regular,
include,Unigram,1913,Regular,
insurance,Unigram,1906,Regular,
remain,Unigram,1904,Regular,
couple,Unigram,1877,Regular,
question,Unigram,1876,Regular,
add help,Bigram,1864,Regular,
day,Unigram,1858,Regular,
consolidate payment,Bigram,1845,Regular,
lot,Unigram,1828,Regular,
single,Unigram,1826,Regular,
charge,Unigram,1809,Regular,
revolve,Unigram,1784,Literacy,
finish,Unigram,1782,Regular,
position,Unigram,1771,Regular,
use money,Bigram,1770,Regular,
old,Unigram,1765,Regular,
receive,Unigram,1764,Regular,
improve,Unigram,1752,Regular,
possible,Unigram,1722,Regular,
wife,Unigram,1697,Regular,
lower monthly,Bigram,1689,Regular,
offer,Unigram,1688,Regular,
good credit,Bigram,1679,Regular,
payment time,Bigram,1661,Regular,
vehicle,Unigram,1656,Regular,
ask,Unigram,1624,Regular,
additional,Unigram,1621,Regular,
easy,Unigram,1609,Regular,
consider,Unigram,1605,Regular,
hope,Unigram,1605,Regular,
repay,Unigram,1600,Regular,
want credit,Bigram,1592,Regular,
add home,Bigram,1588,Regular,
year ago,Bigram,1579,Regular,
replace,Unigram,1575,Regular,
apply,Unigram,1574,Regular,
just want,Bigram,1572,Regular,
place,Unigram,1565,Regular,
complete,Unigram,1559,Regular,
employment,Unigram,1548,Regular,
monthly budget,Bigram,1537,Regular,
problem,Unigram,1535,Regular,
higher credit,Bigram,1527,Regular,
continue,Unigram,1524,Regular,
track,Unigram,1519,Regular,
kitchen,Unigram,1505,Regular,
past year,Bigram,1504,Regular,
provide,Unigram,1502,Regular,
emergency,Unigram,1498,Regular,
forward,Unigram,1495,Regular,
line,Unigram,1493,Regular,
sooner,Unigram,1492,Regular,
combine,Unigram,1490,Regular,
company year,Bigram,1482,Regular,
credit history,Bigram,1476,Regular,
payoff credit,Bigram,1476,Regular,
employer,Unigram,1472,Regular,
outstanding,Unigram,1472,Regular,
job stable,Bigram,1471,Regular,
soon,Unigram,1470,Regular,
remodel,Unigram,1469,Regular,
free year,Bigram,1468,Regular,
owe,Unigram,1463,Regular,
manage,Unigram,1458,Regular,
sell,Unigram,1451,Regular,
care,Unigram,1444,Regular,
date,Unigram,1438,Regular,
quickly,Unigram,1436,Regular,
thank help,Bigram,1433,Regular,
thank add,Bigram,1431,Regular,
payment credit,Bigram,1425,Regular,
steady,Unigram,1409,Regular,
cut,Unigram,1403,Regular,
large,Unigram,1397,Regular,
process,Unigram,1391,Regular,
project,Unigram,1390,Regular,
set,Unigram,1381,Regular,
multiple,Unigram,1372,Regular,
add payoff,Bigram,1363,Regular,
hello,Unigram,1362,Regular,
spend,Unigram,1357,Regular,
minimum payment,Bigram,1351,Regular,
payment lower,Bigram,1351,Regular,
right,Unigram,1347,Regular,
borrow,Unigram,1343,Regular,
need consolidate,Bigram,1341,Regular,
auto,Unigram,1337,Regular,
graduate,Unigram,1332,Regular,
different,Unigram,1328,Regular,
major,Unigram,1308,Regular,
property,Unigram,1302,Regular,
fee,Unigram,1301,Regular,
card monthly,Bigram,1285,Regular,
card make,Bigram,1280,Regular,
think,Unigram,1278,Regular,
excellent credit,Bigram,1276,Regular,
early,Unigram,1273,Regular,
card like,Bigram,1265,Regular,
quicker,Unigram,1256,Regular,
run,Unigram,1254,Regular,
debit,Unigram,1253,Regular,
card use,Bigram,1240,Regular,
love,Unigram,1230,Regular,
consolidation credit,Bigram,1229,Regular,
like credit,Bigram,1228,Regular,
advance,Unigram,1222,Regular,
finally,Unigram,1210,Regular,
reason,Unigram,1208,Regular,
half,Unigram,1196,Regular,
add purpose,Bigram,1194,Regular,
add fund,Bigram,1192,Regular,
add work,Bigram,1192,Regular,
change,Unigram,1183,Regular,
payment make,Bigram,1180,Regular,
support,Unigram,1177,Regular,
consolidation add,Bigram,1176,Regular,
situation,Unigram,1174,Regular,
incur,Unigram,1173,Regular,
roof,Unigram,1166,Regular,
market,Unigram,1152,Regular,
try consolidate,Bigram,1151,Regular,
unexpected,Unigram,1150,Regular,
service,Unigram,1149,Regular,
daughter,Unigram,1147,Regular,
hop,Unigram,1143,Regular,
payment add,Bigram,1141,Regular,
rest,Unigram,1140,Regular,
add hello,Bigram,1131,Regular,
career,Unigram,1121,Regular,
grow,Unigram,1118,Regular,
short,Unigram,1116,Regular,
utility,Unigram,1114,Regular,
child,Unigram,1110,Regular,
open,Unigram,1107,Regular,
away,Unigram,1102,Regular,
plus,Unigram,1099,Regular,
lender,Unigram,1097,Regular,
state,Unigram,1096,Regular,
vacation,Unigram,1094,Regular,
consolidate lower,Bigram,1092,Regular,
bathroom,Unigram,1091,Regular,
raise,Unigram,1091,Regular,
best,Unigram,1089,Regular,
begin,Unigram,1071,Regular,
better rate,Bigram,1065,Regular,
obligation,Unigram,1065,Regular,
dollar,Unigram,1060,Regular,
intend,Unigram,1053,Regular,
add request,Bigram,1037,Regular,
issue,Unigram,1035,Regular,
week,Unigram,1035,Regular,
accumulate,Unigram,1031,Regular,
far,Unigram,1028,Regular,
card year,Bigram,1027,Regular,
people,Unigram,1027,Regular,
clear,Unigram,1026,Regular,
financially,Unigram,1024,Regular,
make monthly,Bigram,1022,Regular,
period,Unigram,1019,Regular,
let,Unigram,1017,Regular,
second,Unigram,1015,Regular,
look forward,Bigram,1012,Regular,
room,Unigram,1008,Regular,
seek,Unigram,1005,Regular,
consolidate higher,Bigram,1001,Regular,
card higher,Bigram,998,Regular,
capital,Unigram,994,Regular,
marry,Unigram,988,Regular,
mean,Unigram,982,Regular,
just need,Bigram,980,Regular,
industry,Unigram,979,Regular,
fund use,Bigram,977,Regular,
son,Unigram,977,Regular,
purchase home,Bigram,976,Regular,
completely,Unigram,972,Regular,
person,Unigram,972,Regular,
value,Unigram,972,Regular,
card account,Bigram,968,Regular,
car payment,Bigram,966,Regular,
say,Unigram,961,Regular,
wish,Unigram,957,Regular,
monthly expense,Bigram,950,Regular,
repayment,Unigram,950,Regular,
require,Unigram,949,Regular,
add currently,Bigram,946,Regular,
previous,Unigram,946,Regular,
default,Unigram,943,Regular,
add purchase,Bigram,933,Regular,
,Unigram,931,Regular,
bring,Unigram,930,Regular,
card company,Bigram,926,Regular,
quot,Unigram,926,Regular,
believe,Unigram,924,Regular,
card want,Bigram,924,Regular,
floor,Unigram,924,Regular,
add refinance,Bigram,912,Regular,
greatly,Unigram,911,Regular,
salary,Unigram,910,Regular,
smaller,Unigram,905,Regular,
return,Unigram,903,Regular,
refinance credit,Bigram,902,Regular,
ahead,Unigram,899,Regular,
report,Unigram,898,Regular,
chase,Unigram,894,Regular,
pool,Unigram,890,Regular,
control,Unigram,889,Regular,
lower payment,Bigram,887,Regular,
check,Unigram,886,Regular,
decide,Unigram,884,Regular,
add higher,Bigram,881,Regular,
tire,Unigram,873,Regular,
big,Unigram,871,Regular,
thank time,Bigram,869,Regular,
fully,Unigram,866,Regular,
bite,Unigram,864,Regular,
note,Unigram,861,Regular,
addition,Unigram,860,Regular,
manageable,Unigram,857,Regular,
consolidate monthly,Bigram,852,Regular,
thank advance,Bigram,849,Regular,
higher rat,Bigram,848,Regular,
food,Unigram,845,Regular,
reliable,Unigram,841,Regular,
truck,Unigram,837,Regular,
sale,Unigram,835,Regular,
tell,Unigram,833,Regular,
degree,Unigram,831,Regular,
flow,Unigram,831,Regular,
member,Unigram,830,Regular,
solid,Unigram,830,Regular,
time job,Bigram,828,Regular,
stay,Unigram,825,Regular,
upgrade,Unigram,824,Regular,
timely,Unigram,821,Regular,
credit rat,Bigram,809,Regular,
payment instead,Bigram,808,Regular,
discover,Unigram,805,Regular,
focus,Unigram,805,Regular,
afford,Unigram,803,Regular,
obtain,Unigram,801,Regular,
store,Unigram,801,Regular,
medical expense,Bigram,799,Regular,
card rat,Bigram,797,Regular,
cash flow,Bigram,797,Regular,
payment thank,Bigram,797,Regular,
dream,Unigram,795,Regular,
area,Unigram,792,Regular,
card close,Bigram,792,Regular,
experience,Unigram,791,Regular,
payment year,Bigram,791,Regular,
parent,Unigram,790,Regular,
longer,Unigram,784,Regular,
need credit,Bigram,783,Regular,
improve credit,Bigram,782,Regular,
professional,Unigram,782,Regular,
win,Unigram,782,Regular,
approximately,Unigram,781,Regular,
gas,Unigram,781,Regular,
card consolidate,Bigram,778,Regular,
need help,Bigram,778,Regular,
overall,Unigram,771,Regular,
buy house,Bigram,770,Regular,
expect,Unigram,770,Regular,
card refinance,Bigram,769,Regular,
approve,Unigram,766,Regular,
year add,Bigram,765,Regular,
extremely,Unigram,762,Regular,
lendingclub,Unigram,760,Regular,
assist,Unigram,759,Regular,
payment history,Bigram,757,Regular,
close account,Bigram,752,Regular,
actually,Unigram,745,Regular,
hold,Unigram,744,Regular,
revolve credit,Bigram,744,Regular,
reduce monthly,Bigram,743,Regular,
ready,Unigram,742,Regular,
step,Unigram,739,Regular,
meet,Unigram,730,Regular,
clean,Unigram,729,Regular,
phone,Unigram,729,Regular,
single payment,Bigram,728,Regular,
field,Unigram,727,Regular,
work hard,Bigram,727,Regular,
intrest,Unigram,726,Regular,
sure,Unigram,726,Regular,
credit report,Bigram,719,Regular,
work time,Bigram,719,Regular,
easy payment,Bigram,716,Regular,
simply,Unigram,716,Regular,
stand,Unigram,716,Regular,
current job,Bigram,714,Regular,
year old,Bigram,712,Regular,
add make,Bigram,710,Regular,
enable,Unigram,710,Regular,
cancel,Unigram,703,Regular,
card just,Bigram,703,Regular,
update,Unigram,703,Regular,
deal,Unigram,701,Regular,
maintain,Unigram,701,Regular,
dental,Unigram,696,Regular,
help consolidate,Bigram,695,Regular,
thank consider,Bigram,694,Regular,
card car,Bigram,693,Regular,
reasonable,Unigram,693,Regular,
result,Unigram,693,Regular,
need money,Bigram,692,Regular,
goal free,Bigram,691,Regular,
record,Unigram,691,Regular,
water,Unigram,691,Regular,
answer,Unigram,690,Regular,
card free,Bigram,690,Regular,
card personal,Bigram,687,Regular,
freedom,Unigram,685,Regular,
add year,Bigram,684,Regular,
employer year,Bigram,683,Regular,
home repair,Bigram,683,Regular,
friend,Unigram,681,Regular,
use high,Bigram,680,Regular,
follow,Unigram,679,Regular,
equipment,Unigram,673,Regular,
furniture,Unigram,673,Regular,
health,Unigram,672,Regular,
base,Unigram,671,Regular,
security,Unigram,670,Regular,
simple,Unigram,670,Regular,
limit,Unigram,669,Regular,
card medical,Bigram,668,Regular,
option,Unigram,667,Regular,
card credit,Bigram,666,Regular,
recent,Unigram,663,Regular,
husband,Unigram,662,Regular,
make good,Bigram,662,Regular,
card help,Bigram,660,Regular,
risk,Unigram,660,Regular,
add recently,Bigram,659,Regular,
line credit,Bigram,659,Regular,
master,Unigram,659,Regular,
creditor,Unigram,658,Literacy,
easily,Unigram,658,Regular,
economy,Unigram,658,Regular,
add buy,Bigram,657,Regular,
available,Unigram,656,Regular,
start save,Bigram,655,Regular,
household,Unigram,653,Regular,
education,Unigram,652,Regular,
list,Unigram,652,Regular,
turn,Unigram,652,Regular,
happy,Unigram,650,Regular,
accrue,Unigram,649,Regular,
achieve,Unigram,649,Regular,
retirement,Unigram,647,Uncertain,מושג פרישה - יכול לבטא תכנון פיננסי או סתם ציון שלב חיים
add personal,Bigram,643,Regular,
balance credit,Bigram,640,Regular,
chance,Unigram,640,Regular,
bad,Unigram,638,Regular,
point,Unigram,638,Regular,
card thank,Bigram,637,Regular,
carry,Unigram,635,Regular,
fund consolidate,Bigram,635,Regular,
lower rat,Bigram,633,Regular,
year thank,Bigram,631,Regular,
story,Unigram,627,Regular,
add new,Bigram,626,Regular,
employee,Unigram,625,Regular,
window,Unigram,625,Regular,
establish,Unigram,624,Regular,
money use,Bigram,624,Regular,
rid credit,Bigram,623,Regular,
feel free,Bigram,622,Regular,
reach,Unigram,622,Regular,
real,Unigram,617,Regular,
fresh,Unigram,616,Regular,
lose,Unigram,616,Regular,
year plan,Bigram,616,Regular,
america,Unigram,615,Regular,
equity,Unigram,615,Uncertain,"'הון עצמי בבית' לרוב, אבל יכול גם להתכוון ל'הוגנות' באנגלית כללית"
exist credit,Bigram,615,Regular,
new home,Bigram,615,Regular,
close credit,Bigram,614,Regular,
hopefully,Unigram,613,Regular,
apartment,Unigram,612,Regular,
number,Unigram,612,Regular,
hospital,Unigram,611,Regular,
card time,Bigram,605,Regular,
assistance,Unigram,603,Regular,
motorcycle,Unigram,603,Regular,
create,Unigram,602,Regular,
important,Unigram,601,Regular,
current credit,Bigram,599,Regular,
expand,Unigram,599,Regular,
payment monthly,Bigram,597,Regular,
information,Unigram,593,Regular,
surgery,Unigram,592,Regular,
average,Unigram,591,Regular,
card rate,Bigram,590,Regular,
program,Unigram,588,Regular,
add money,Bigram,586,Regular,
owner,Unigram,585,Regular,
credit account,Bigram,580,Regular,
buy home,Bigram,578,Regular,
add time,Bigram,575,Regular,
home year,Bigram,574,Regular,
like use,Bigram,572,Regular,
remainder,Unigram,572,Regular,
save month,Bigram,571,Regular,
money credit,Bigram,570,Regular,
simplify,Unigram,569,Regular,
travel,Unigram,569,Regular,
item,Unigram,566,Regular,
summer,Unigram,566,Regular,
add job,Bigram,565,Regular,
earn,Unigram,565,Regular,
fix rate,Bigram,565,Regular,
help credit,Bigram,563,Regular,
card month,Bigram,562,Regular,
visa,Unigram,562,Regular,
difficult,Unigram,559,Regular,
just payment,Bigram,559,Regular,
perfect,Unigram,559,Regular,
mother,Unigram,558,Regular,
work company,Bigram,557,Regular,
excite,Unigram,556,Regular,
paint,Unigram,556,Regular,
steady job,Bigram,556,Regular,
main,Unigram,554,Regular,
kid,Unigram,553,Regular,
dept,Unigram,551,Regular,
work year,Bigram,551,Regular,
decrease,Unigram,550,Regular,
price,Unigram,549,Regular,
various,Unigram,549,Regular,
add current,Bigram,548,Regular,
schedule,Unigram,546,Regular,
candidate,Unigram,543,Regular,
happen,Unigram,543,Regular,
lower apr,Bigram,541,Regular,
eliminate credit,Bigram,538,Regular,
add good,Bigram,537,Regular,
government,Unigram,532,Regular,
car repair,Bigram,531,Regular,
individual,Unigram,531,Regular,
rate add,Bigram,531,Regular,
learn,Unigram,529,Regular,
renovation,Unigram,528,Regular,
time payment,Bigram,528,Regular,
american,Unigram,527,Regular,
stop,Unigram,527,Regular,
purchase new,Bigram,526,Regular,
unfortunately,Unigram,526,Regular,
manner,Unigram,525,Regular,
greatly appreciate,Bigram,522,Regular,
plan credit,Bigram,521,Regular,
proceed,Unigram,521,Regular,
year time,Bigram,520,Regular,
bank america,Bigram,519,Regular,
acquire,Unigram,518,Regular,
strong,Unigram,518,Regular,
realize,Unigram,515,Regular,
thank investor,Bigram,515,Regular,
card debit,Bigram,514,Regular,
prior,Unigram,514,Regular,
retire,Unigram,513,Regular,
year credit,Bigram,512,Regular,
avoid,Unigram,511,Regular,
good job,Bigram,509,Regular,
just try,Bigram,509,Regular,
add stable,Bigram,508,Regular,
wait,Unigram,508,Regular,
high apr,Bigram,507,Regular,
card save,Bigram,506,Regular,
current employer,Bigram,506,Regular,
net,Unigram,506,Uncertain,"'הכנסה נטו' אפשרי, אך גם מילה כללית (רשת, net כקיצור לאינטרנט)"
extra money,Bigram,504,Regular,
successful,Unigram,503,Regular,
month add,Bigram,502,Regular,
great credit,Bigram,501,Regular,
add car,Bigram,500,Regular,
month credit,Bigram,500,Regular,
nice,Unigram,500,Regular,
rat credit,Bigram,499,Regular,
unsecured,Unigram,499,Literacy,
break,Unigram,498,Regular,
fund credit,Bigram,498,Regular,
foot,Unigram,497,Regular,
add apply,Bigram,496,Regular,
rental,Unigram,496,Regular,
try credit,Bigram,496,Regular,
enjoy,Unigram,495,Regular,
worry,Unigram,494,Regular,
basement,Unigram,492,Regular,
consolidate make,Bigram,492,Regular,
card currently,Bigram,491,Regular,
add add,Bigram,490,Regular,
catch,Unigram,490,Regular,
make easier,Bigram,490,Regular,
thank invest,Bigram,490,Regular,
ability,Unigram,489,Regular,
stress,Unigram,488,Regular,
payoff high,Bigram,487,Regular,
year work,Bigram,486,Regular,
fall,Unigram,483,Regular,
payment just,Bigram,483,Regular,
rate card,Bigram,483,Regular,
application,Unigram,482,Regular,
contract,Unigram,482,Regular,
appliance,Unigram,481,Regular,
long term,Bigram,481,Regular,
portion,Unigram,480,Regular,
didn,Unigram,478,Regular,
management,Unigram,477,Regular,
customer,Unigram,476,Regular,
send,Unigram,476,Regular,
nearly,Unigram,475,Regular,
payment help,Bigram,474,Regular,
federal,Unigram,473,Regular,
entire,Unigram,472,Regular,
approx,Unigram,471,Regular,
quite,Unigram,470,Regular,
card home,Bigram,469,Regular,
irs,Unigram,469,Regular,
near,Unigram,468,Regular,
add medical,Bigram,467,Regular,
minor,Unigram,467,Regular,
monthly income,Bigram,466,Regular,
firm,Unigram,464,Regular,
transfer,Unigram,464,Regular,
manager,Unigram,463,Regular,
able make,Bigram,460,Regular,
high card,Bigram,459,Regular,
purpose consolidate,Bigram,459,Regular,
private,Unigram,458,Regular,
ratio,Unigram,457,Uncertain,"בהקשר זה כנראה 'יחס חוב-הכנסה', אבל מילה כללית"
start new,Bigram,457,Regular,
fast,Unigram,456,Regular,
payment plan,Bigram,455,Regular,
add tell,Bigram,454,Regular,
university,Unigram,453,Regular,
deposit,Unigram,452,Regular,
condition,Unigram,451,Regular,
payment allow,Bigram,451,Regular,
soon possible,Bigram,451,Regular,
cause,Unigram,450,Regular,
necessary,Unigram,450,Regular,
local,Unigram,449,Regular,
free ask,Bigram,448,Regular,
need new,Bigram,448,Regular,
review,Unigram,448,Regular,
hand,Unigram,447,Regular,
tell story,Bigram,447,Regular,
card payoff,Bigram,446,Regular,
final,Unigram,446,Regular,
zero,Unigram,446,Regular,
time month,Bigram,444,Regular,
city,Unigram,443,Regular,
new roof,Bigram,443,Regular,
plan consolidate,Bigram,443,Regular,
prefer,Unigram,442,Regular,
wed expense,Bigram,442,Regular,
year make,Bigram,442,Regular,
internet,Unigram,441,Regular,
payment save,Bigram,441,Regular,
add goal,Bigram,440,Regular,
case,Unigram,440,Regular,
bonus,Unigram,439,Regular,
lump,Unigram,439,Regular,
want high,Bigram,439,Regular,
hour,Unigram,438,Regular,
couple credit,Bigram,437,Regular,
profit,Unigram,437,Regular,
progress,Unigram,436,Regular,
short term,Bigram,436,Regular,
great job,Bigram,435,Regular,
larger,Unigram,433,Regular,
level,Unigram,433,Regular,
range,Unigram,433,Regular,
secure job,Bigram,432,Regular,
year year,Bigram,431,Regular,
air,Unigram,430,Regular,
attempt,Unigram,430,Regular,
just look,Bigram,430,Regular,
small business,Bigram,430,Regular,
worth,Unigram,430,Regular,
payment payment,Bigram,429,Regular,
sum,Unigram,429,Regular,
installment,Unigram,428,Literacy,
light,Unigram,427,Regular,
fact,Unigram,426,Regular,
idea,Unigram,426,Regular,
mind,Unigram,426,Regular,
outstanding credit,Bigram,426,Regular,
card good,Bigram,425,Regular,
look credit,Bigram,423,Regular,
financial situation,Bigram,421,Regular,
double,Unigram,420,Regular,
ring,Unigram,420,Regular,
help add,Bigram,419,Regular,
law,Unigram,418,Regular,
unit,Unigram,417,Regular,
benefit,Unigram,413,Regular,
card apr,Bigram,413,Regular,
site,Unigram,413,Regular,
use purchase,Bigram,413,Regular,
ask question,Bigram,412,Regular,
express,Unigram,411,Regular,
affordable,Unigram,410,Regular,
annual,Unigram,409,Regular,
card reduce,Bigram,408,Regular,
job work,Bigram,408,Regular,
significantly,Unigram,408,Regular,
use consolidation,Bigram,408,Regular,
family member,Bigram,407,Regular,
office,Unigram,407,Regular,
utilize,Unigram,407,Regular,
add exist,Bigram,406,Regular,
house year,Bigram,405,Regular,
card need,Bigram,404,Regular,
help thank,Bigram,404,Regular,
huge,Unigram,403,Regular,
month payment,Bigram,403,Regular,
help family,Bigram,402,Regular,
decision,Unigram,401,Regular,
earlier,Unigram,401,Regular,
read,Unigram,401,Regular,
time add,Bigram,400,Regular,
buy new,Bigram,399,Regular,
appreciate help,Bigram,397,Regular,
relocate,Unigram,395,Regular,
union,Unigram,395,Regular,
tuition,Unigram,394,Regular,
want free,Bigram,394,Regular,
expensive,Unigram,392,Regular,
fence,Unigram,392,Regular,
handle,Unigram,392,Regular,
small credit,Bigram,392,Regular,
add allow,Bigram,391,Regular,
money consolidate,Bigram,391,Regular,
month thank,Bigram,391,Regular,
relate,Unigram,391,Regular,
significant,Unigram,391,Regular,
responsibility,Unigram,389,Regular,
card small,Bigram,388,Regular,
live expense,Bigram,388,Regular,
event,Unigram,387,Regular,
want use,Bigram,387,Regular,
don want,Bigram,386,Regular,
effort,Unigram,386,Regular,
potential,Unigram,386,Regular,
shorter,Unigram,386,Regular,
young,Unigram,386,Regular,
business year,Bigram,385,Regular,
couple year,Bigram,383,Regular,
location,Unigram,383,Regular,
primary,Unigram,383,Regular,
self,Unigram,382,Regular,
time thank,Bigram,382,Regular,
carpet,Unigram,381,Regular,
financial freedom,Bigram,381,Regular,
heat,Unigram,381,Regular,
principal,Unigram,381,Literacy,
timely manner,Bigram,381,Regular,
ensure,Unigram,380,Regular,
estate,Unigram,380,Regular,
landscape,Unigram,379,Regular,
card faster,Bigram,378,Regular,
job secure,Bigram,378,Regular,
lay,Unigram,378,Regular,
mistake,Unigram,378,Regular,
use car,Bigram,378,Regular,
employ company,Bigram,377,Regular,
later,Unigram,377,Regular,
new job,Bigram,376,Regular,
car credit,Bigram,375,Regular,
year job,Bigram,375,Regular,
add monthly,Bigram,374,Regular,
card work,Bigram,374,Regular,
help fund,Bigram,374,Regular,
safe,Unigram,374,Regular,
asap,Unigram,373,Regular,
consumer,Unigram,373,Regular,
shop,Unigram,373,Regular,
add intend,Bigram,372,Regular,
